1751406115	58	58	170859
1751406116	2	60	425442
1751406117	5	65	689675
1751406118	0	65	920474
1751406119	2	67	1172624
1751406120	1	68	1396228
1751406121	0	68	1638588
1751406122	3	71	1870847
1751406123	0	71	2127844
1751406124	2	73	2378803
1751406125	0	73	2619100
1751406126	0	73	2890583
1751406127	0	73	3135101
1751406128	0	73	3387722
1751406129	0	73	3630587
1751406130	0	73	3873563
1751406131	0	73	4100739
1751406132	0	73	4334036
1751406133	1	74	4572809
1751406134	0	74	4833956
1751406135	0	74	5070831
1751406136	0	74	5301072
1751406137	0	74	5555604
1751406138	0	74	5795321
1751406139	1	75	6051287
1751406140	0	75	6113015
