1751406115	33767
1751406120	12324
1751406125	8447
1751406130	3688
1751406135	2517
1751406140	1745
1751406145	1336
1751406150	624
1751406155	876
1751406160	201
1751406165	133
1751406170	87
1751406175	47
1751406180	34
1751406185	26
1751406190	15
1751406195	24
1751406200	23
1751406205	14
1751406210	10
1751406215	17
1751406220	4
1751406225	14
1751406230	17
1751406235	123
1751406240	272
1751406245	60
1751406250	286
1751406255	407
1751406260	1126
1751406265	8
1751406270	8
1751406275	16
1751406280	88
1751406285	18
1751406290	6
1751406295	14
1751406300	10
1751406305	18
1751406310	8
1751406315	23
1751406320	17
1751406325	12
1751406330	6
1751406335	10
1751406340	4
1751406345	12
1751406350	9
1751406355	7
1751406360	17
1751406365	16
1751406370	7
1751406375	15
1751406380	12
1751406385	5
1751406390	3
1751406395	15
1751406400	10
1751406405	10
1751406410	8
1751406415	18
1751406420	8
1751406425	11
1751406430	6
1751406435	17
1751406440	19
1751406445	19
1751406450	7
1751406455	4
1751406460	7
1751406465	44
1751406470	6
1751406475	10
1751406480	9
1751406485	43
1751406490	11
1751406495	12
1751406500	14
1751406505	30
1751406510	13
1751406515	21
1751406520	8
1751406525	8
1751406530	100
1751406535	15
1751406540	14
1751406545	21
1751406550	10
1751406555	7
1751406560	9
1751406565	25
1751406570	14
1751406575	139
1751406580	1522
1751406585	42
1751406590	555
1751406595	901
1751406600	536
1751406605	408
1751406610	612
1751406615	1208
1751406620	961
1751406625	27
1751406630	20
1751406635	13
1751406640	10
1751406645	17
1751406650	11
1751406655	10
1751406660	20
1751406665	12
1751406670	8
1751406675	12
1751406680	16
1751406685	11
1751406690	17
1751406695	97
1751406700	137
1751406705	16
1751406710	10
1751406715	10
1751406720	16
1751406725	21
1751406730	11
1751406735	17
1751406740	6
1751406745	13
1751406750	15
1751406755	11
1751406760	9
1751406765	23
1751406770	11
1751406775	16
1751406780	4
1751406785	15
1751406790	12
1751406795	12
1751406800	20
1751406805	10
1751406810	44
1751406815	4
1751406820	12
1751406825	8
1751406830	14
1751406835	26
1751406840	20
1751406845	17
1751406850	12
1751406855	271
1751406860	289
1751406865	52
1751406870	73
1751406875	4
1751406880	6
1751406885	22
1751406890	7
1751406895	20
1751406900	10
1751406905	3
1751406910	14
1751406915	13
1751406920	13
1751406925	12
1751406930	13
1751406935	3
1751406940	9
1751406945	11
1751406950	9
1751406955	9
1751406960	18
1751406965	9
1751406970	17
1751406975	6
1751406980	17
1751406985	14
1751406990	7
1751406995	15
1751407000	9
1751407005	12
1751407010	6
1751407015	7
1751407020	4
1751407025	6
1751407030	16
1751407035	9
1751407040	16
1751407045	11
1751407050	9
1751407055	9
1751407060	15
1751407065	17
1751407070	13
1751407075	9
1751407080	14
1751407085	11
1751407090	13
1751407095	9
1751407100	6
1751407105	20
1751407110	8
1751407115	10
1751407120	9
1751407125	10
1751407130	8
1751407135	7
1751407140	12
1751407145	6
1751407150	5
1751407155	11
1751407160	7
1751407165	18
1751407170	6
1751407175	16
1751407180	8
1751407185	18
1751407190	15
1751407195	17
1751407200	4
1751407205	5
1751407210	11
1751407215	15
1751407220	9
1751407225	18
1751407230	13
1751407235	4
1751407240	15
1751407245	7
1751407250	15
1751407255	54
1751407260	10
1751407265	5
1751407270	18
1751407275	16
1751407280	8
1751407285	10
1751407290	9
1751407295	12
1751407300	9
1751407305	8
1751407310	6
1751407315	13
1751407320	11
1751407325	11
1751407330	13
1751407335	107
1751407340	17
1751407345	20
1751407350	13
1751407355	9
1751407360	8
1751407365	15
1751407370	49
1751407375	176
1751407380	84
1751407385	41
1751407390	38
1751407395	8
1751407400	13
1751407405	17
1751407410	16
1751407415	20
1751407420	10
1751407425	9
1751407430	13
1751407435	10
1751407440	7
1751407445	7
1751407450	10
1751407455	18
1751407460	18
1751407465	8
1751407470	4
1751407475	12
1751407480	16
1751407485	6
1751407490	12
1751407495	8
1751407500	547
1751407505	6
1751407510	11
1751407515	10
1751407520	27
1751407525	199
1751407530	8
1751407535	18
1751407540	10
1751407545	17
1751407550	258
1751407555	25
1751407560	398
1751407565	440
1751407570	75
1751407575	205
1751407580	18
1751407585	168
1751407590	686
1751407595	629
1751407600	71
1751407605	92
1751407610	99
1751407615	85
1751407620	24
1751407625	10
1751407630	202
1751407635	109
1751407640	167
1751407645	33
1751407650	7
1751407655	12
1751407660	26
1751407665	30
1751407670	10
1751407675	8
1751407680	16
1751407685	15
1751407690	5
1751407695	10
1751407700	18
1751407705	30
1751407710	19
1751407715	35
1751407720	14
1751407725	123
1751407730	14
1751407735	6
1751407740	14
1751407745	8
1751407750	9
1751407755	10
1751407760	25
1751407765	16
1751407770	12
1751407775	10
1751407780	9
1751407785	69
1751407790	117
1751407795	32
1751407800	5
1751407805	5
1751407810	12
1751407815	7
1751407820	7
1751407825	12
1751407830	5
1751407835	5
1751407840	7
1751407845	11
1751407850	15
1751407855	5
1751407860	9
1751407865	17
1751407870	9
1751407875	14
1751407880	13
1751407885	15
1751407890	15
1751407895	11
1751407900	15
1751407905	6
1751407910	9
1751407915	7
1751407920	10
