1751406115	6834
1751406116	5367
1751406117	11774
1751406118	2371
1751406119	7421
1751406120	1147
1751406121	5824
1751406122	1463
1751406123	1778
1751406124	2112
1751406125	944
1751406126	1969
1751406127	1062
1751406128	2742
1751406129	1730
1751406130	1294
1751406131	186
1751406132	1284
1751406133	498
1751406134	426
1751406135	824
1751406136	176
1751406137	821
1751406138	99
1751406139	597
1751406140	472
1751406141	150
1751406142	686
1751406143	127
1751406144	310
1751406145	366
1751406146	358
1751406147	429
1751406148	60
1751406149	123
1751406150	181
1751406151	44
1751406152	221
1751406153	38
1751406154	140
1751406155	264
1751406156	236
1751406157	135
1751406158	119
1751406159	122
1751406160	21
1751406161	34
1751406162	77
1751406163	5
1751406164	64
1751406165	48
1751406166	8
1751406167	22
1751406168	13
1751406169	42
1751406170	26
1751406171	7
1751406172	16
1751406173	12
1751406174	26
1751406175	2
1751406176	13
1751406177	17
1751406178	9
1751406179	6
1751406180	17
1751406181	3
1751406182	9
1751406183	1
1751406184	4
1751406185	10
1751406186	6
1751406187	8
1751406188	1
1751406189	1
1751406190	3
1751406191	3
1751406192	2
1751406193	3
1751406194	4
1751406195	5
1751406196	3
1751406197	1
1751406198	7
1751406199	8
1751406200	0
1751406201	3
1751406202	3
1751406203	3
1751406204	14
1751406205	3
1751406206	1
1751406207	2
1751406208	7
1751406209	1
1751406210	0
1751406211	3
1751406212	2
1751406213	1
1751406214	4
1751406215	2
1751406216	3
1751406217	7
1751406218	3
1751406219	2
1751406220	0
1751406221	1
1751406222	0
1751406223	2
1751406224	1
1751406225	0
1751406226	1
1751406227	1
1751406228	7
1751406229	5
1751406230	3
1751406231	3
1751406232	4
1751406233	3
1751406234	4
1751406235	7
1751406236	39
1751406237	64
1751406238	6
1751406239	7
1751406240	3
1751406241	2
1751406242	3
1751406243	0
1751406244	264
1751406245	10
1751406246	21
1751406247	0
1751406248	1
1751406249	28
1751406250	72
1751406251	3
1751406252	154
1751406253	0
1751406254	57
1751406255	0
1751406256	4
1751406257	13
1751406258	4
1751406259	386
1751406260	247
1751406261	297
